a,name,gender
AARONIT,aaronit,male
AARON,aarón,male
ABACO,abaco,male
ABALEN,abalen,male
ABBOTT,abbott,male
ABD AL-AZIZ,abd al-aziz,male
ABDALA,abdala,male
ABDAS,abdas,male
ABDECALAS,abdecalas,male
ABDEL,abdel,male
ABDERCIO,abdercio,male
ABDI,abdi,male
ABDIAS,abdias,male
ABDIEL,abdiel,male
ABDIESO,abdieso,male
ABDISON,abdison,male
ABDO,abdo,male
ABDON,abdon,male
ABDUL,abdul,male
ABDULLAH,abdullah,male
ABDIAS,abdías,male
ABDON,abdón,male
ABE,abe,male
ABEL,abel,male
ABELARDO,abelardo,male
ABENAMAR,abenamar,male
ABENCIO,abencio,male
ABERARDO,aberardo,male
ABERCIO,abercio,male
ABEY,abey,male
ABHAY,abhay,male
ABIBO,abibo,male
ABIBON,abibon,male
ABIE,abie,male
ABIEL,abiel,male
ABIJAH,abijah,male
ABILIO,abilio,male
ABISAI,abisai,male
ABNER,abner,male
ABRAHAM,abraham,male
ABRAHAMITAS,abrahamitas,male
ABRAHAN,abrahan,male
ABRAM,abram,male
ABRAN,abran,male
ABSALOM,absalom,male
ABSALON,absalón,male
ABU,abu,male
ABUDEMIO,abudemio,male
ABUNDANCIO,abundancio,male
ABUNDIO,abundio,male
ACACIO,acacio,male
ACATO,acato,male
ACCAS,accas,male
ACCIO,accio,male
ACDEL,acdel,male
ACE,ace,male
ACELIN,acelin,male
ACEPIMAS,acepimas,male
ACHIUTA,achiuta,male
ACILINO,acilino,male
ACINDINO,acindino,male
ACISCIO,aciscio,male
ACISCLO,acisclo,male
ACKERKEY,ackerkey,male
ACUCIO,acucio,male
ACURSIO,acursio,male
ADAIR,adair,male
ADALA,adala,male
ADALBERTO,adalberto,male
ADALBERON,adalberón,male
ADALID,adalid,male
ADALINO,adalino,male
ADAM,adam,male
ADAMNAN,adamnan,male
ADAMO,adamo,male
ADAN,adan,male
ADAUCO,adauco,male
ADAUCTO,adaucto,male
ADBEEL,adbeel,male
ADE,ade,male
ADELARDO,adelardo,male
ADELBERTO,adelberto,male
ADELFO,adelfo,male
ADELGIRO,adelgiro,male
ADELINO,adelino,male
ADELIO,adelio,male
ADELMAR,adelmar,male
ADELMO,adelmo,male
ADELQUI,adelqui,male
ADEM,adem,male
ADEMAR,ademar,male
ADEMARO,ademaro,male
ADERES,aderes,male
ADERITO,aderito,male
ADHERMAR,adhermar,male
ADHUE,adhue,male
